Time: 21166
Volumen ocupado = 5.09911e+06
200	200	181.998
Id	Piece	in	x	y	z	qw	qx	qy	qz
0	0	1	76.7391	32.8478	0	0.5	0.5	0.5	0.5
1	0	1	0	0	89	0.5	0.5	0.5	0.5
2	1	1	148.739	2.24964e-32	99	0.707107	-0.707107	8.65956e-17	0
3	1	1	200	200	10	0.5	-0.5	-0.5	0.5
4	2	1	101.739	0	0	1	0	0	0
5	2	1	0	0	0	1	0	0	0
6	2	1	0	108.949	21.7898	1	0	0	0
7	2	1	80	90	0	1	0	0	0
8	2	1	57.7357	0	92.9977	1	0	0	0
9	3	1	150.001	100	181.998	3.7494e-33	-1	6.12323e-17	6.12323e-17
10	3	1	150.001	200	131.998	3.7494e-33	-1	6.12323e-17	6.12323e-17
11	3	1	200	100	131.998	-0.707107	-0	0.707107	-0
12	3	1	100	200	115	-0.5	-0.5	0.5	-0.5
13	4	1	50.5	10	110.79	1	0	0	0
14	4	1	55	65	136.79	1	0	0	0
15	4	1	45	34	136.79	1	0	0	0
16	4	1	55	10	136.79	1	0	0	0
17	4	1	20	60	89	1	0	0	0
18	5	1	181.739	88.6573	0	0.707107	0.707107	0	0
19	5	1	25	90	0	0.5	0.5	0.5	0.5
20	5	1	55	90	0	0.5	0.5	0.5	0.5
21	5	1	0	90	0	0.5	0.5	0.5	0.5
22	5	1	55	187.449	26	0.5	0.5	0.5	0.5
